"jahr","straftat","anzahl"
"2009","Fahrzeugdiebstahl (Art. 139)",1101
"2009","Betrug (Art. 146)",94
"2009","Hausfriedensbruch + Diebstahl (Art. 186)",808
"2009","Diebstahl (Art. 139)",624
"2009","Sachbeschädigung + Diebstahl (Art. 144)",782
"2009","Einbruchdiebstahl (Art. 139)",694
"2009","Sachbeschädigung (Art. 144)",889
"2009","Ladendiebstahl (Art. 139)",238
"2009","Betrügerischer Missbrauch einer Datenverarbeitungsanlage (Art. 147)",75
"2009","Tätlichkeiten (Art. 126)",246
"2009","Unbefugte Datenbeschaffung (Art. 143)",4
"2009","Diebstahl ab/aus Fahrzeug (Art. 139)",86
"2009","Urkundenfälschung (Art. 251)",30
"2009","Geldwäscherei (Art. 305bis)",0
"2009","Einschleichdiebstahl (Art. 139)",143
"2009","Fahrlässige Körperverletzung (Art. 125)",11
"2009","Hausfriedensbruch (Art. 186)",72
"2009","Einfache Körperverletzung (Art. 123)",145
"2009","Beschimpfung (Art. 177)",17
"2009","Pornografie (Art. 197)",16
"2009","Ungehorsam gegen amtliche Verfügungen (Art. 292)",28
"2009","Unterlassung der Buchführung (Art. 166)",6
"2009","Drohung (Art. 180)",176
"2009","Taschendiebstahl (Art. 139)",187
"2009","Fahrzeugeinbruchdiebstahl (Art. 139)",90
"2009","Erschleichen einer Leistung (Art. 150)",2
"2009","Gewalt + Drohung gegen Behörden + Beamte (Art. 285)",51
"2009","Ordnungswidrige Führung der Geschäftsbücher (Art. 325)",5
"2009","Veruntreuung (Art. 138)",32
"2009","Unrechtmässige Aneignung (Art. 137)",23
"2009","Fälschung von Ausweisen (Art. 252)",27
"2009","Nötigung (Art. 181)",35
"2009","Misswirtschaft (Art. 165)",4
"2009","Verletzung des Schriftgeheimnisses (Art. 179)",6
"2009","Missbrauch einer Fernmeldeanlage (Art. 179septies)",56
"2009","Sexuelle Belästigungen (Art. 198)",25
"2009","Datenbeschädigung (Art. 144bis)",1
"2009","Erpressung (Art. 156)",4
"2009","Beteiligung Angriff (Art. 134)",21
"2009","Verletzung des Geheim- oder Privatbereichs durch Aufnahmegeräte (Art. 179quater)",1
"2009","Sexuelle Handlungen mit Kindern (Art. 187)",20
"2009","Raub (Art. 140)",20
"2009","Hinderung einer Amtshandlung (Art. 286)",17
"2009","Ungehorsam des Schuldners im Betreibungs- + Konkursverfahren (Art. 323)",17
"2009","Ungetreue Geschäftsbesorgung (Art. 158)",2
"2009","Fahrlässige Verursachung einer Feuersbrunst (Art. 222)",10
"2009","Sachentziehung (Art. 141)",19
"2009","Verleumdung (Art. 174)",2
"2009","Trickdiebstahl (Art. 139)",45
"2009","Beteiligung Raufhandel (Art. 133)",40
"2009","Üble Nachrede (Art. 173)",5
"2009","Hehlerei (Art. 160)",4
"2009","Erschleichung einer falschen Beurkundung (Art. 253)",4
"2009","Gefährdung des Lebens (Art. 129)",32
"2009","Zechprellerei (Art. 149)",16
"2009","Vergewaltigung (Art. 190)",9
"2009","Unwahre Angaben gegenüber Handelsregisterbehörden (Art. 153)",2
"2009","Amtsanmassung (Art. 287)",2
"2009","Unbefugtes Eindringen in ein Datenverarbeitungssystem (Art. 143bis)",0
"2009","Falsche Anschuldigung (Art. 303)",6
"2009","Arglistige Vermögensschädigung (Art. 151)",0
"2009","Exhibitionismus (Art. 194)",7
"2009","Verfügung über mit Beschlag belegte Vermögenswerte (Art. 169)",2
"2009","Schändung (Art. 191)",2
"2009","Schwere Körperverletzung (Art. 122)",5
"2009","Tötungsdelikte (Art. 111 - 113/116)",3
"2009","Falscher Alarm (Art. 128bis)",2
"2009","Entreissdiebstahl (Art. 139)",10
"2009","Irreführung der Rechtspflege (Art. 304)",10
"2009","Freiheitsberaubung/Entführung (Art. 183)",9
"2009","Brandstiftung (Art. 221)",6
"2009","Betrügerischer Konkurs oder Pfändungsbetrug (Art. 163)",3
"2009","Gläubigerschädigung durch Vermögensminderung (Art. 164)",1
"2009","Störung der Glaubens- + Kultusfreiheit (Art. 261)",1
"2009","Gewaltdarstellungen (Art. 135)",0
"2009","Schreckung der Bevölkerung (Art. 258)",0
"2009","Fahrlässige Gefährdung (Art. 225)",5
"2009","Verabreichen gesundheitsgefährdender Stoffe an Kinder (Art. 136)",3
"2009","Sexuelle Nötigung (Art. 189)",2
"2009","Störung von Betrieben, die der Allgemeinheit dienen (Art. 239)",1
"2009","Störung des Totenfriedens (Art. 262)",1
"2009","Fahrlässige Tötung (Art. 117)",0
"2009","Unwahre Angaben über kaufmännische Gewerbe (Art. 152)",0
"2009","Verletzung der Fürsorge-/Erziehungspflicht (Art. 219)",10
"2009","In Umlaufsetzen falschen Geldes (Art. 242)",9
"2009","Landfriedensbruch (Art. 260)",6
"2009","Störung des öffentlichen Verkehrs (Art. 237)",4
"2009","Gefährdung durch Verletzung der Regeln der Baukunde (Art. 229)",3
"2009","Störung des Eisenbahnverkehrs (Art. 238)",3
"2009","Urkundenfälschung im Amt (Art. 317)",2
"2009","Verletzung des Post-/Fernmeldegeheimnisses (Art. 321ter)",2
"2009","Warenfälschung (Art. 155)",1
"2009","Nachmachen von Banknoten, Münzen oder amtlichen Wertzeichen ohne Fälschungsabsicht (Art. 243)",1
"2009","Unrechtmässige Verwendung von Vermögenswerten (Art. 141bis)",0
"2009","Verletzung des Fabrikations- oder Geschäftsgeheimnisses (Art. 162)",0
"2009","Unbefugtes Aufnehmen von Gesprächen (Art. 179ter)",0
"2009","Unbefugtes Beschaffen von Personendaten (Art. 179novies)",0
"2009","Inzest (Art. 213)",0
"2009","Gefährdung durch Sprengstoffe + giftige Gase in verbrecherischer Absicht (Art. 224)",0
"2009","Geldfälschung (Art. 240)",0
"2009","Missachtung eines Tätigkeitsverbots oder eines Kontakt- + Rayonverbots - bis 2015 Übertretung eines Berufsverbotes (Art. 294)",0
"2009","Begünstigung (Art. 305)",0
"2009","Verletzung des Berufsgeheimnisses (Art. 321)",0
"2009","Ungehorsam dritter Personen im Betreibungs-, Konkurs- + Nachlassverfahren (Art. 324)",0
"2009","Vernachlässigung von Unterhaltspflichten (Art. 217)",6
"2009","Unterlassung der Nothilfe (Art. 128)",2
"2009","Ausnützung der Notlage (Art. 193)",2
"2009","Verweisungsbruch (Art. 291)",2
"2009","Check- + Kreditkartenmissbrauch (Art. 148)",1
"2009","Unterdrückung von Urkunden (Art. 254)",1
"2009","Diskriminierung + Aufruf zu Hass - bis 2020 Rassendiskriminierung (Art. 261bis)",1
"2009","Unbefugtes Tragen der militärischen Uniform (Art. 331)",1
"2009","Verleitung/Beihilfe zum Selbstmord (Art. 115)",0
"2009","Aussetzung (Art. 127)",0
"2009","Unrechtmässige Entziehung von Energie (Art. 142)",0
"2009","Wucher (Art. 157)",0
"2009","Missbrauch von Lohnabzügen (Art. 159)",0
"2009","Bevorzugung eines Gläubigers (Art. 167)",0
"2009","Abhören + Aufnehmen fremder Gespräche (Art. 179bis)",0
"2009","Erschwerende Umstände (Art. 184)",0
"2009","Geiselnahme (Art. 185)",0
"2009","Sexuelle Handlungen mit Abhängigen (Art. 188)",0
"2009","Förderung der Prostitution (Art. 195)",0
"2009","Entziehen von Minderjährigen (Art. 220)",0
"2009","Verursachung einer Explosion (Art. 223)",0
"2009","Verursachen Überschwemmung/Einsturz (Art. 227)",0
"2009","Beseitigung/Nichtanbringung von Sicherheitsvorrichtungen (Art. 230)",0
"2009","Verbreiten menschlicher Krankheiten (Art. 231)",0
"2009","Verunreinigung von Trinkwasser (Art. 234)",0
"2009","Einführen, Erwerben, Lagern falschen Geldes (Art. 244)",0
"2009","Fälschung amtlicher Wertzeichen (Art. 245)",0
"2009","Öffentliche Aufforderung zu Verbrechen oder zur Gewalttätigkeit (Art. 259)",0
"2009","Strafbare Vorbereitungshandlungen (260bis)",0
"2009","Kriminelle + terroristische Organisationen - bis 2021 Kriminelle Organisation (Art. 260ter)",0
"2009","Gefährdung der öffentlichen Sicherheit mit Waffen (Art. 260quater)",0
"2009","Angriffe auf die verfassungsmässige Ordnung (Art. 275)",0
"2009","Störung des Militärdienstes (Art. 278)",0
"2009","Störung/Hinderung von Wahlen/Abstimmungen (Art. 279)",0
"2009","Wahlfälschung (Art. 282)",0
"2009","Bruch amtlicher Beschlagnahme (Art. 289)",0
"2009","Siegelbruch (Art. 290)",0
"2009","Mangelnde Sorgfalt bei Finanzgeschäften + Melderecht (Art. 305ter)",0
"2009","Falsche Beweisaussage der Partei (Art. 306)",0
"2009","Falsches Zeugnis/Gutachten/falsche Übersetzung (Art. 307)",0
