Stil,Artist,Track,Beliebtheit,Akustik,Tanzbarkeit,Dauer
Movie,Henri Salvador,C'est beau de faire un Show,0,0.611,0.389,99373
Movie,Martin & les fÃ©es,Perdu d'avance (par Gad Elmaleh),1,0.246,0.59,137373
Movie,Joseph Williams,Don't Let Me Be Lonely Tonight,3,0.952,0.663,170267
Movie,Henri Salvador,Dis-moi Monsieur Gordon Cooper,0,0.703,0.24,152427
Movie,Fabien Nataf,Ouverture,4,0.95,0.331,82625
Movie,Henri Salvador,Le petit souper aux chandelles,0,0.749,0.578,160627
Movie,Martin & les fÃ©es,"PremiÃ¨res recherches (par Paul Ventimila, Lorie Pester, VÃ©ronique Jannot, MichÃ¨le Laroque & GÃ©rard Lenorman)",2,0.344,0.703,212293
Movie,Laura Mayne,Let Me Let Go,15,0.939,0.416,240067
Movie,Chorus,Helka,0,0.00104,0.734,226200
Movie,Le Club des Juniors,Les bisous des bisounours,10,0.319,0.598,152694
Movie,Leopold Stokowski,Symphony No.4 In E Minor Op.98 : IV. Allegro Energico E Passionato,0,0.921,0.191,566960
Movie,Randy Newman,The Hanging (Maverick - Original Motion Picture Score) - Remastered,2,0.0383,0.23,121333
Movie,Idoles De La Musique,J'ai demandÃ© Ã  la lune,4,0.215,0.68,213589
Movie,Chorus,Mangala Aarti,3,0.958,0.758,308627
Movie,Richard M. Sherman,Keys of Love,0,0.97,0.4,159253
Movie,Michel Roux,Les aventures d'ArsÃ¨ne Lupin: 813 - Partie 6,0,0.548,0.588,2447870
Movie,Jean Claude Corbel,Diane,0,0.7,0.625,523424
Movie,Bernard Minet,Ultra Man 80,3,0.488,0.744,178107
Movie,Henri Salvador,Veunise,1,0.381,0.451,194360
Movie,Amalya,Ladies And Gentlemen,4,0.161,0.522,207240
Movie,Martin & les fÃ©es,"Tout est possible (par Anggun, Dany Brillant, Garou, GÃ©rard Lenorman, Julie Zenatti, Lisa Angell, Lorie Pester, Natasha St-Pier, Patrick Fiori, Paul Ventimila, Sara Carreira, Veronique Jannot & Vincent Niclo)",1,0.852,0.362,219600
Movie,DorothÃ©e,Clic clac cloc,1,0.513,0.855,183467
Movie,Henri Salvador,Monsieur Boum Boum,8,0.689,0.704,161773
Movie,Jean Claude Corbel,Pourquoi aller plus loin ?,0,0.669,0.707,71299
Movie,Henri Salvador,Quand je monte chez toi,5,0.706,0.526,181441
Movie,Jean Piat,Comme minuit sonnait,0,0.882,0.711,299040
Movie,Henri Salvador,Le FÃªtard,0,0.159,0.636,152840
Movie,Lucie Dolene,Le mariage des poupÃ©es,0,0.864,0.594,156973
Movie,Henri Salvador,Une chanson douce,2,0.716,0.835,142813
Movie,Chorus,Mangani â€“ Do Banjare / Amba Heth,0,0.184,0.695,430240
Movie,Chorus,A ty siÄ™ Å›miejesz ze mnie,0,0.00323,0.711,221320
Movie,Martin & les fÃ©es,Une journÃ©e d'Ã©cole qui s'achÃ¨ve (par VÃ©ronique Jannot),4,0.305,0.618,49373
Movie,Henri Salvador,C Est Le Be Bop,0,0.922,0.681,129707
Movie,Henri Salvador,La Samba De LÃ -Bas,0,0.942,0.883,171027
Movie,Chorus,Ambarsare Diyan Warhiyan,0,0.123,0.784,235000
Movie,Henri Salvador,Silence on tourne,0,0.767,0.776,169352
Movie,Chorus,For the Game,0,0.164,0.848,215333
Movie,Henri Salvador,Quand un artiste - live,1,0.619,0.483,218187
Movie,Richard M. Sherman,Afterglow,0,0.932,0.348,127507
Movie,Larry Groce,"Sailing, Sailing",0,0.508,0.567,22413
Movie,Chorus,Tehni Pe Kisi Shajar,0,0.649,0.483,189027
Movie,Leopold Stokowski,"BourrÃ©e, From English Suite No. 2, BWV 807",1,0.983,0.42,199160
Movie,Henri Salvador,La Vie grise,0,0.934,0.336,160053
Movie,Patrick Rocca,To Be or Not to Be,1,0.576,0.503,121533
Movie,Ken Page,Dancing with Gene,0,0.751,0.566,371720
Movie,Ken Page,Penn Station - Seesaw,0,0.614,0.434,77067
Movie,Bernard Minet,Dragon Ball GT,4,0.0287,0.669,181173
Movie,Debbie Davis,I'll Feel Much Better When You Cry,3,0.285,0.555,278160
Movie,Henri Salvador,"La samba de lÃ -bas (De l'opÃ©rette ""Le Chevalier Bayard"")",0,0.659,0.804,169853
Movie,DorothÃ©e,J'ai retrouvÃ© ma valise,1,0.581,0.885,212627
Movie,Claire Guyot,Le silence,1,0.902,0.489,128871
Movie,Chantal Goya,Animauxville (DÃ©part) - Live,5,0.386,0.43,47172
Movie,Henri Salvador,Sketch producteur (suite),1,0.712,0.63,56067
Movie,Lucie Dolene,Sphinx,0,0.917,0.428,198040
Movie,Jean Piat,L'Ã‚ne chargÃ© d'Ã©ponges et l'Ã‚ne chargÃ© de sel,0,0.924,0.683,101653
Movie,Justin Hurwitz,"Rialto - From ""La La Land"" Score",3,0.967,0.55,28027
Movie,Chorus,Stous athanatous nekrous (To Immortal Deads),0,0.989,0.262,220173
Movie,Henri Salvador,Bon Dieu qu'elle est con - live,1,0.728,0.538,139840
Movie,Randy Newman,Jack To The Rescue - Meet The Parents/Soundtrack,1,0.871,0.297,65560
Movie,Chorus,Shree Ram Chant,4,0.126,0.542,515613
Movie,Marie Ruggieri,"Oh quel chien/Il se traÃ®ne - From ""Lady and the Tramp""/French Soundtrack Version",0,0.929,0.443,144560
Movie,Chorus,Mangal Aarti,0,0.455,0.714,184987
Movie,Henri Salvador,MalgrÃ© tes serments,0,0.983,0.341,136253
Movie,Henri Salvador,Audustin ! Y'a quelqu'un qui te demande,0,0.733,0.775,194769
Movie,Chorus,Nadipinche Naa Naayaka,0,0.71,0.582,303413
Movie,Karine Costa,Super Insomniaque,0,0.0575,0.59,248960
Movie,Henri Salvador,Papa loves mambo,0,0.667,0.602,201587
Movie,Chorus,Om Jayanti Mangla,0,0.791,0.447,107703
Movie,DorothÃ©e,J'ai vidÃ© ma valise,0,0.334,0.84,148867
Movie,Chorus,Takhti Par Takhti,0,0.933,0.676,214093
Movie,Fabien Nataf,I Try,4,0.48,0.914,75102
Movie,Pascal Laffarge,Il pleut bergÃ¨re,0,0.615,0.394,121480
Movie,Frank Churchill,Snow White: Taas paiva kaunein on (Some Day My Prince Will Come),0,0.979,0.238,147067
Movie,Chorus,Baaramma - Bit,0,0.939,0.582,75337
Movie,Jean Claude Corbel,Le Vilain Petit Canard 2,0,0.695,0.71,492813
Movie,Jean Claude Corbel,Les poissons voyageurs,0,0.756,0.564,248221
Movie,Dominique Tirmont,La Toulousaine,0,0.91,0.388,118600
Movie,Henri Salvador,Monsieur Le Bon Dieu,0,0.776,0.363,180133
Movie,Jean Claude Corbel,Le voyage Ã  Lilliput,0,0.715,0.569,978303
Movie,Jean Claude Corbel,Le Chat BottÃ© 4,0,0.778,0.61,199587
Movie,Chorus,Tsamikos Horos (Tsamikos Dance),0,0.398,0.633,211133
Movie,Chorus,Lalitha Parameshwari,0,0.761,0.672,69355
Movie,Jean Claude Corbel,Le Petit Poucet 2,0,0.616,0.714,292720
Movie,Leopold Stokowski,"We All Believe In One God, Giant Fugue, BWV 680",1,0.962,0.168,195827
Movie,Dominique Tirmont,La petite diligence,1,0.611,0.702,134093
Movie,Debbie Davis,Rap-a-Cito,6,0.525,0.6,61800
Movie,Chorus,Thandeye Oh,0,0.876,0.468,259000
Movie,Chorus,Banga Aamar,0,0.847,0.494,367747
Movie,Bernard Minet,Dis-moi monsieur Bernard Minet,3,0.66,0.657,247600
Movie,Chorus,Sai Parameshwar Sai Karuneshwar,7,0.366,0.694,315693
Movie,Chorus,Shanthi Koru,0,0.357,0.61,255347
Movie,Chorus,Aa Divyanaama,0,0.813,0.525,296373
Movie,Martin & les fÃ©es,Le plus beau de tes rÃªves (par Anggun),4,0.345,0.505,154493
Movie,Henri Salvador,Chanson surrealiste,0,0.79,0.701,133982
Movie,Henri Salvador,Grosse Fille Ne Pleure Pas - Remastered,11,0.0367,0.441,137733
Movie,Claire Guyot,Assise au bord du monde,0,0.744,0.193,234754
Movie,Chorus,Koti Chennaya(Vol.1 and 2),0,0.84,0.688,3435625
Movie,Henri Salvador,"Dis-moi qu'tu m'aimes, rock",1,0.844,0.592,156267
Movie,Richard M. Sherman,Forgotten Dreams,0,0.987,0.429,89947
Movie,Chorus,High (feat. Syross & Messieh),0,0.414,0.642,154176
Movie,Chorus,Kaisi Anokhi Mehfil,0,0.636,0.615,234480
Movie,Henri Salvador,24 heures par jour,0,0.951,0.805,153973
Movie,Choeurs,Georges Bizet : Sur la place,0,0.974,0.39,375258
Movie,Chorus,Daivapithave,0,0.523,0.627,225307
Movie,Chorus,Ven a una nave espacial,1,0.506,0.653,66320
Movie,Henri Salvador,Bon appÃ©tit mademoiselle,0,0.726,0.478,143933
Movie,Chorus,Shri Gayatri Mahamantra,0,0.962,0.518,249973
Movie,Larry Groce,Choices,1,0.407,0.508,216720
Movie,Leopold Stokowski,Symphony No.1 In C Major : IV. Allegro Vivace,2,0.678,0.333,372107
Movie,Debbie Davis,You Know I'm No Good,3,0.9,0.471,252547
Movie,Chorus,Czy PamiÄ™tasz,0,0.0488,0.598,307867
Movie,Les HÃ©rissons,Mabrouka Ananas ma Nana,0,0.639,0.632,171356
Movie,Henri Salvador,Cherche la rose,3,0.619,0.242,208733
Movie,Chorus,I Denne SÃ¸te Juletid: Kom La Oss GÃ¥ Og Se!,0,0.474,0.524,101000
Movie,Michel Roux,Les aventures d'ArsÃ¨ne Lupin: 813 - Partie 5,0,0.529,0.643,2359123
Movie,Debbie Davis,Mele Kalikimaka,0,0.605,0.641,170373
Movie,Chorus,Swami Samartha Majhe Aai,0,0.228,0.684,203492
Movie,Randy Newman,This Is Gonna Be Good,6,0.604,0.108,200053
Movie,Idoles De La Musique,Marie,0,0.463,0.439,216155
Movie,Jean Claude Corbel,Tom Pouce 1,0,0.738,0.571,167053
Movie,Jean Claude Corbel,Les premiers mammifÃ¨res,0,0.743,0.559,181116
Movie,Martin & les fÃ©es,"Une Ã©nigmatique jeune femme blonde (par VÃ©ronique Jannot, Paul Ventimila & Arielle Dombasle)",1,0.237,0.662,182067
Movie,Bernard Minet,Juliette je t'aime - GÃ©nÃ©rique,10,0.629,0.659,158307
Movie,Henri Salvador,Il Pleut BergÃ¨re - Remastered,5,0.304,0.423,124067
Movie,Jean Claude Corbel,Aladin 1,0,0.63,0.539,326800
Movie,Larry Morey,The Silly Song (The Dwarfs' Yodel Song),1,0.713,0.823,103178
Movie,Henri Salvador,Mazurka Pour Ma Mie,1,0.741,0.428,175800
Movie,Houcine,Je m'accroche,1,0.00759,0.794,207920
Movie,Frank Churchill,"Chorale for Snow White - From ""Snow White and the Seven Dwarfs""/Score",1,0.463,0.188,67427
Movie,Chorus,Titlee Pyari Titlee,0,0.78,0.606,159840
Movie,Randy Newman,The Pros Go To College,2,0.989,0.375,80853
Movie,Lucie Dolene,"Sept variations sur ""La Seine""",0,0.89,0.441,414213
Movie,Randy Newman,A New Day: 7:00 A.M.,1,0.979,0.211,300800
Movie,Frank Churchill,"Whistle While You Work - London, Dec. 8, 1938, HMV B-8835, MX. OEA 7224-1",0,0.987,0.723,191040
Movie,China Moses,Nicotine,6,0.566,0.522,214596
R&B,Mary J. Blige,Be Without You - Kendu Mix,65,0.083,0.724,246333
R&B,Rihanna,Desperado,63,0.323,0.685,186467
R&B,Yung Bleu,Ice On My Baby (feat. Kevin Gates) - Remix,62,0.0675,0.762,199520
R&B,Surfaces,Heaven Falls / Fall on Me,61,0.36,0.563,240597
R&B,Olivia O'Brien,Love Myself,68,0.596,0.653,213947
R&B,ELHAE,Needs,61,0.661,0.51,205640
R&B,Nao,Make It Out Alive (feat. SiR),64,0.667,0.67,239147
R&B,Frank Ocean,Seigfried,66,0.975,0.377,334570
R&B,Layton Greene,Roll In Peace,60,0.72,0.523,170343
R&B,Usher,You Make Me Wanna...,69,0.0359,0.761,219120
R&B,Mariah Carey,Hero,71,0.735,0.501,257733
R&B,BeyoncÃ©,Flawless Remix,69,0.241,0.639,234413
R&B,Jason Derulo,Tip Toe (feat. French Montana),76,0.0233,0.845,187521
R&B,TWENTY88,On The Way,61,0.0808,0.584,203227
R&B,Big Sean,I Know,66,0.288,0.741,319973
